"gene","ensembl_gene_id","entrezgene_id"
"A1BG","ENSG00000121410",1
"A1BG-AS1","ENSG00000268895",503538
"A1CF","ENSG00000148584",29974
"A2M","ENSG00000175899",2
"A2M-AS1","ENSG00000245105",144571
"A2ML1","ENSG00000166535",144568
"A3GALT2","ENSG00000184389",127550
"A4GALT","ENSG00000128274",53947
"A4GNT","ENSG00000118017",51146
"AAAS","ENSG00000291836",8086
"AAAS","ENSG00000094914",8086
"AACS","ENSG00000081760",65985
"AACSP1","ENSG00000291019",729522
"AACSP1","ENSG00000250420",729522
"AADAC","ENSG00000114771",13
"AADACL2","ENSG00000197953",344752
"AADACL2","ENSG00000261846",344752
"AADACL3","ENSG00000188984",126767
"AADACL4","ENSG00000204518",343066
"AADAT","ENSG00000109576",51166
"AAGAB","ENSG00000103591",79719
"AAK1","ENSG00000115977",22848
"AAMDC","ENSG00000087884",28971
"AAMP","ENSG00000127837",14
"AANAT","ENSG00000129673",15
"AAR2","ENSG00000131043",25980
"AARD","ENSG00000205002",441376
"AARS1","ENSG00000090861",16
"AARS2","ENSG00000124608",57505
"AARSD1","ENSG00000266967",80755
"AASDH","ENSG00000157426",132949
"AASDHPPT","ENSG00000149313",60496
"AASS","ENSG00000008311",10157
"AATBC","ENSG00000215458",284837
"AATF","ENSG00000276072",26574
"AATF","ENSG00000275700",26574
"AATK","ENSG00000181409",9625
"ABALON","ENSG00000281376",NA
"ABAT","ENSG00000183044",18
"ABCA1","ENSG00000165029",19
"ABCA10","ENSG00000154263",10349
"ABCA12","ENSG00000144452",26154
"ABCA13","ENSG00000179869",154664
"ABCA17P","ENSG00000293423",650655
"ABCA17P","ENSG00000238098",650655
"ABCA2","ENSG00000107331",20
"ABCA3","ENSG00000167972",21
"ABCA4","ENSG00000198691",24
"ABCA5","ENSG00000154265",23461
"ABCA6","ENSG00000154262",23460
"ABCA7","ENSG00000064687",10347
"ABCA8","ENSG00000141338",10351
"ABCA9","ENSG00000154258",10350
"ABCA9-AS1","ENSG00000231749",NA
"ABCB1","ENSG00000085563",5243
"ABCB10","ENSG00000135776",23456
"ABCB11","ENSG00000276582",8647
"ABCB11","ENSG00000073734",8647
"ABCB4","ENSG00000005471",5244
"ABCB5","ENSG00000004846",340273
"ABCB6","ENSG00000115657",10058
"ABCB7","ENSG00000131269",22
"ABCB8","ENSG00000197150",11194
"ABCB9","ENSG00000150967",23457
"ABCC1","ENSG00000278183",4363
"ABCC1","ENSG00000103222",4363
"ABCC10","ENSG00000124574",89845
"ABCC11","ENSG00000121270",85320
"ABCC12","ENSG00000140798",94160
"ABCC2","ENSG00000023839",1244
"ABCC3","ENSG00000108846",8714
"ABCC4","ENSG00000125257",10257
"ABCC5","ENSG00000114770",10057
"ABCC5-AS1","ENSG00000223882",100873982
"ABCC6","ENSG00000091262",368
"ABCC6","ENSG00000275331",368
"ABCC6P1","ENSG00000256340",653190
"ABCC6P1","ENSG00000291057",653190
"ABCC6P2","ENSG00000273808",730013
"ABCC6P2","ENSG00000255277",730013
"ABCC6P2","ENSG00000290943",730013
"ABCC6P2","ENSG00000290494",730013
"ABCC8","ENSG00000006071",6833
"ABCC9","ENSG00000069431",10060
"ABCD1","ENSG00000101986",215
"ABCD2","ENSG00000173208",225
"ABCD3","ENSG00000117528",5825
"ABCD4","ENSG00000119688",5826
"ABCE1","ENSG00000164163",6059
"ABCF1","ENSG00000236342",23
"ABCF1","ENSG00000232169",23
"ABCF1","ENSG00000225989",23
"ABCF1","ENSG00000204574",23
"ABCF1","ENSG00000231129",23
"ABCF1","ENSG00000236149",23
"ABCF1","ENSG00000206490",23
"ABCF2","ENSG00000033050",10061
"ABCF2-H2BK1","ENSG00000285292",NA
"ABCF3","ENSG00000161204",55324
"ABCG1","ENSG00000160179",9619
"ABCG2","ENSG00000118777",9429
"ABCG4","ENSG00000172350",64137
"ABCG5","ENSG00000138075",64240
"ABCG8","ENSG00000143921",64241
"ABHD1","ENSG00000143994",84696
"ABHD10","ENSG00000144827",55347
"ABHD11","ENSG00000106077",83451
"ABHD12","ENSG00000100997",26090
"ABHD12B","ENSG00000131969",145447
"ABHD13","ENSG00000139826",84945
"ABHD14A","ENSG00000248487",25864
"ABHD14A-ACY1","ENSG00000114786",100526760
"ABHD14B","ENSG00000114779",84836
"ABHD15","ENSG00000168792",116236
"ABHD16A","ENSG00000231488",7920
"ABHD16A","ENSG00000206403",7920
"ABHD16A","ENSG00000230475",7920
"ABHD16A","ENSG00000235676",7920
"ABHD16A","ENSG00000236063",7920
"ABHD16A","ENSG00000224552",7920
"ABHD16A","ENSG00000204427",7920
"ABHD16B","ENSG00000183260",140701
"ABHD17A","ENSG00000129968",81926
"ABHD17B","ENSG00000107362",51104
"ABHD17C","ENSG00000136379",58489
"ABHD18","ENSG00000164074",80167
"ABHD2","ENSG00000140526",11057
"ABHD3","ENSG00000158201",171586
"ABHD4","ENSG00000100439",63874
"ABHD5","ENSG00000011198",51099
"ABHD6","ENSG00000163686",57406
"ABHD8","ENSG00000127220",79575
"ABI1","ENSG00000136754",10006
"ABI2","ENSG00000138443",10152
"ABI3","ENSG00000108798",51225
"ABI3BP","ENSG00000154175",25890
"ABITRAM","ENSG00000119328",54942
"ABL1","ENSG00000097007",25
"ABL2","ENSG00000143322",27
"ABLIM1","ENSG00000099204",3983
"ABLIM2","ENSG00000163995",84448
"ABLIM3","ENSG00000173210",22885
"ABO","ENSG00000175164",28
"ABO","ENSG00000281879",28
"ABR","ENSG00000278741",29
"ABR","ENSG00000159842",29
"ABR","ENSG00000276016",29
"ABRA","ENSG00000174429",137735
"ABRACL","ENSG00000146386",58527
"ABRAXAS1","ENSG00000163322",84142
"ABRAXAS2","ENSG00000165660",23172
"ABT1","ENSG00000292169",29777
"ABT1","ENSG00000146109",29777
"ABTB1","ENSG00000114626",80325
"ABTB2","ENSG00000166016",25841
"ABTB3","ENSG00000151136",121551
"ACAA1","ENSG00000060971",30
"ACAA2","ENSG00000167315",10449
"ACACA","ENSG00000275176",31
"ACACA","ENSG00000278540",31
"ACACB","ENSG00000076555",32
"ACAD10","ENSG00000111271",80724
"ACAD11","ENSG00000240303",84129
"ACAD8","ENSG00000151498",27034
"ACAD9","ENSG00000177646",28976
"ACADL","ENSG00000115361",33
"ACADM","ENSG00000117054",34
"ACADS","ENSG00000122971",35
"ACADSB","ENSG00000196177",36
"ACADVL","ENSG00000072778",37
"ACAN","ENSG00000157766",176
"ACAP1","ENSG00000072818",9744
"ACAP1","ENSG00000288169",9744
"ACAP2","ENSG00000114331",23527
"ACAP3","ENSG00000131584",116983
"ACAT1","ENSG00000075239",38
"ACAT2","ENSG00000120437",39
"ACBD3","ENSG00000182827",64746
"ACBD4","ENSG00000181513",79777
"ACBD5","ENSG00000107897",91452
"ACBD6","ENSG00000230124",100527964
"ACBD6","ENSG00000230124",84320
"ACBD7","ENSG00000176244",414149
"ACCS","ENSG00000110455",84680
"ACCSL","ENSG00000205126",390110
"ACD","ENSG00000102977",65057
"ACE","ENSG00000159640",1636
"ACE2","ENSG00000130234",59272
"ACE2-DT","ENSG00000225833",NA
"ACER1","ENSG00000167769",125981
"ACER2","ENSG00000177076",340485
"ACER3","ENSG00000078124",55331
"ACHE","ENSG00000087085",43
"ACIN1","ENSG00000100813",22985
"ACKR1","ENSG00000213088",2532
"ACKR2","ENSG00000144648",1238
"ACKR3","ENSG00000144476",57007
"ACKR4","ENSG00000129048",51554
"ACLY","ENSG00000131473",47
"ACMSD","ENSG00000153086",130013
"ACO1","ENSG00000122729",48
"ACO2","ENSG00000100412",50
"ACOD1","ENSG00000102794",730249
"ACOT1","ENSG00000184227",641371
"ACOT11","ENSG00000162390",26027
"ACOT12","ENSG00000172497",134526
"ACOT13","ENSG00000112304",55856
"ACOT2","ENSG00000119673",10965
"ACOT4","ENSG00000177465",122970
"ACOT6","ENSG00000205669",641372
"ACOT7","ENSG00000097021",11332
"ACOT8","ENSG00000101473",10005
"ACOT9","ENSG00000123130",23597
"ACOX1","ENSG00000161533",51
"ACOX2","ENSG00000168306",8309
"ACOX3","ENSG00000087008",8310
"ACOXL","ENSG00000153093",55289
"ACOXL-AS1","ENSG00000204581",400997
"ACP1","ENSG00000143727",52
"ACP2","ENSG00000134575",53
"ACP3","ENSG00000014257",55
"ACP4","ENSG00000142513",93650
"ACP5","ENSG00000102575",54
"ACP6","ENSG00000162836",51205
"ACP7","ENSG00000183760",390928
"ACR","ENSG00000291368",49
"ACR","ENSG00000100312",49
"ACRBP","ENSG00000111644",84519
"ACRV1","ENSG00000134940",56
"ACSBG1","ENSG00000103740",23205
"ACSBG2","ENSG00000130377",81616
"ACSF2","ENSG00000167107",80221
"ACSF3","ENSG00000176715",197322
"ACSL1","ENSG00000151726",2180
"ACSL3","ENSG00000123983",2181
"ACSL4","ENSG00000068366",2182
"ACSL5","ENSG00000197142",51703
"ACSL6","ENSG00000164398",23305
"ACSL6-AS1","ENSG00000223548",101927693
"ACSM1","ENSG00000166743",116285
"ACSM2A","ENSG00000183747",123876
"ACSM2B","ENSG00000066813",348158
"ACSM3","ENSG00000005187",6296
"ACSM4","ENSG00000215009",341392
"ACSM5","ENSG00000183549",54988
"ACSM6","ENSG00000173124",142827
"ACSS1","ENSG00000154930",84532
"ACSS2","ENSG00000131069",55902
"ACSS3","ENSG00000111058",79611
"ACTA1","ENSG00000143632",58
"ACTA2","ENSG00000107796",59
"ACTB","ENSG00000075624",60
"ACTBL2","ENSG00000169067",345651
"ACTC1","ENSG00000159251",70
"ACTG1","ENSG00000184009",71
"ACTG1","ENSG00000291420",71
"ACTG1P25","ENSG00000234996",148709
"ACTG1P25","ENSG00000293264",148709
"ACTG2","ENSG00000163017",72
"ACTL10","ENSG00000288649",170487
"ACTL6A","ENSG00000136518",86
"ACTL6B","ENSG00000077080",51412
"ACTL7A","ENSG00000187003",10881
"ACTL7B","ENSG00000148156",10880
"ACTL8","ENSG00000117148",81569
"ACTL9","ENSG00000181786",284382
"ACTMAP","ENSG00000188493",284325
"ACTN1","ENSG00000072110",87
"ACTN1-DT","ENSG00000259062",161159
"ACTN2","ENSG00000077522",88
"ACTN3","ENSG00000248746",89
"ACTN4","ENSG00000130402",81
"ACTN4","ENSG00000282844",81
"ACTR10","ENSG00000131966",55860
"ACTR1A","ENSG00000138107",10121
"ACTR1B","ENSG00000115073",10120
"ACTR1B","ENSG00000291597",10120
"ACTR2","ENSG00000138071",10097
"ACTR3","ENSG00000115091",10096
"ACTR3B","ENSG00000133627",57180
"ACTR3BP6","ENSG00000280263",440888
"ACTR3BP6","ENSG00000288272",440888
"ACTR3C","ENSG00000106526",653857
"ACTR5","ENSG00000101442",79913
"ACTR6","ENSG00000075089",64431
"ACTR8","ENSG00000113812",93973
"ACTRT1","ENSG00000123165",139741
"ACTRT2","ENSG00000169717",140625
"ACTRT3","ENSG00000184378",84517
"ACVR1","ENSG00000115170",90
"ACVR1B","ENSG00000135503",91
"ACVR1C","ENSG00000123612",130399
"ACVR2A","ENSG00000121989",92
"ACVR2B","ENSG00000114739",93
"ACVR2B-AS1","ENSG00000229589",100128640
"ACVRL1","ENSG00000139567",94
"ACY1","ENSG00000243989",95
"ACY3","ENSG00000132744",91703
"ACYP1","ENSG00000119640",97
"ACYP2","ENSG00000170634",98
"ADA","ENSG00000196839",100
"ADA2","ENSG00000093072",51816
"ADAD1","ENSG00000164113",132612
"ADAD2","ENSG00000140955",161931
"ADAL","ENSG00000168803",161823
"ADAM10","ENSG00000137845",102
"ADAM11","ENSG00000073670",4185
"ADAM12","ENSG00000148848",8038
"ADAM15","ENSG00000143537",8751
"ADAM17","ENSG00000151694",6868
"ADAM18","ENSG00000278548",8749
"ADAM18","ENSG00000168619",8749
"ADAM19","ENSG00000135074",8728
"ADAM2","ENSG00000104755",2515
"ADAM2","ENSG00000276286",2515
"ADAM20","ENSG00000134007",8748
"ADAM20P1","ENSG00000259158",317760
"ADAM20P1","ENSG00000290783",317760
"ADAM21","ENSG00000139985",8747
"ADAM22","ENSG00000008277",53616
"ADAM23","ENSG00000114948",8745
"ADAM28","ENSG00000042980",10863
"ADAM29","ENSG00000168594",11086
