"affy_hg_u133_plus_2","avg_expression","adj.P.Val","P.Value","t","B","logFC","Gene.ID","Gene.symbol","Gene.title","norm_p_value","p_value_plat_rank","norm_p_value_plat_rank","norm_avg_exprss","GEOreflect_rank","pval_rank","study_pval","study_B_val","study_pval_rank","wnt_assoc"
"1405_i_at",6.29323504383333,2.62979049020876e-06,1.15203421596831e-08,15.5932700781639,10.5872810158585,2.475180589,"6352","CCL5","C-C motif chemokine ligand 5",0.999999988479675,21,0.979,0.22466657878563,1198,239,1.15203421596831e-08,10.5872810158585,239,FALSE
"1552426_a_at",6.961309333,5.80221209043112e-05,1.24056441403091e-06,-9.75370856085424,5.81666010814702,-1.187741902,"80213","TM2D3","TM2 domain containing 3",0.999998759435497,18,0.982,0.31006684601162,889,1145,1.24056441403091e-06,5.81666010814702,1145,FALSE
"1552619_a_at",5.50775053633333,0.00027908475737203,1.1028175365551e-05,-7.73342691491198,3.53139808905959,-1.12111442266667,"54443","ANLN","anillin actin binding protein",0.9999889718237,81,0.919,0.124257705206542,1524,1516,1.1028175365551e-05,3.53139808905959,1516,FALSE
"1552667_a_at",5.6100531125,5.61097162247857e-05,1.18017693019668e-06,9.80426969794147,5.86858915638031,1.040354273,"10044","SH2D3C","SH2 domain containing 3C",0.999998819822986,14,0.986,0.137335094179912,1480,1132,1.18017693019668e-06,5.86858915638031,1132,FALSE
"1552680_a_at",5.94751315433333,9.99333837751758e-06,9.4861319029385e-08,-12.6630382237419,8.46723923485807,-1.551455024,"57082","KNL1","kinetochore scaffold 1",0.999999905138691,23,0.977,0.180472778443452,1366,519,9.4861319029385e-08,8.46723923485807,519,FALSE
"1553185_at",7.69424624383333,1.63334914979322e-05,2.04037945918385e-07,11.7273394156915,7.6836822813101,1.25647571833333,"158158","RASEF","RAS and EF-hand domain containing",0.999999795962055,18,0.982,0.40375853428634,564,683,2.04037945918385e-07,7.6836822813101,683,FALSE
"1553186_x_at",7.717804148,1.45568354319618e-05,1.70927999036478e-07,11.9380992173093,7.86535795498128,1.254239724,"158158","RASEF","RAS and EF-hand domain containing",0.999999829072004,19,0.981,0.406769952842242,548,642,1.70927999036478e-07,7.86535795498128,642,FALSE
"1553396_a_at",8.381132865,0.0211493768249809,0.00334382155866348,3.76023107720428,-2.44291842618293,1.21011343933333,"152206","CCDC13","coiled-coil domain containing 13",0.996656178152412,72,0.928,0.491563591228078,395,1626,0.00334382155866348,-2.44291842618293,1626,FALSE
"1553528_a_at",6.25315626483333,0.00015375055577788,4.94082718796042e-06,-8.43417724411085,4.3733936286053,-1.00959615833333,"6877","TAF5","TATA-box binding protein associated factor 5",0.999995059172403,40,0.96,0.219543288618363,1226,1431,4.94082718796042e-06,4.3733936286053,1431,FALSE
"1553535_a_at",6.91915820566667,6.98219623078911e-06,5.33801193318674e-08,-13.4082806480638,9.05124964054773,-1.34060616133333,"5905","RANGAP1","Ran GTPase activating protein 1",0.999999946619894,12,0.988,0.304678646530641,901,418,5.33801193318674e-08,9.05124964054773,418,FALSE
"1553587_a_at",6.275279553,4.18069874567536e-05,7.69233276296188e-07,-10.2468623118084,6.31335439424401,-1.32678750333333,"56655","POLE4","DNA polymerase epsilon 4, accessory subunit",0.999999230766675,13,0.987,0.222371319500539,1200,1002,7.69233276296188e-07,6.31335439424401,1002,FALSE
"1553594_a_at",8.99851704666667,2.31934709220546e-05,3.30032380015702e-07,11.1711140915916,7.18880792586905,1.25115969,"3640","INSL3","insulin like 3",0.99999966996761,10,0.99,0.570484116909735,198,778,3.30032380015702e-07,7.18880792586905,778,FALSE
"1553599_a_at",8.33906957866667,1.61862480513477e-05,2.01014401954552e-07,-11.7449841553552,7.69901219656984,-1.29936678666667,"50511","SYCP3","synaptonemal complex protein 3",0.999999798985599,11,0.989,0.48618662050563,333,679,2.01014401954552e-07,7.69901219656984,679,FALSE
"1553601_a_at",6.3713955045,4.08225701184395e-05,7.38427468626185e-07,10.2899753372678,6.35576070800322,1.06601220433334,"259236","TMIE","transmembrane inner ear",0.999999261572486,13,0.987,0.234657869179047,1158,987,7.38427468626185e-07,6.35576070800322,987,FALSE
"1553962_s_at",6.337161583,2.61597929124932e-05,3.89466327037393e-07,10.9849048120029,7.01793874321624,1.80938175533333,"388","RHOB","ras homolog family member B",0.999999610533657,18,0.982,0.230281730040479,1177,814,3.89466327037393e-07,7.01793874321624,814,FALSE
"1553983_at",6.33354711866667,6.96281242319137e-05,1.61478667628837e-06,-9.49009817633339,5.54207234850968,-1.03421582333334,"1841","DTYMK","deoxythymidylate kinase",0.999998385213202,13,0.987,0.229819691274804,1174,1214,1.61478667628837e-06,5.54207234850968,1214,FALSE
"1553984_s_at",6.91308182166667,7.99493060625557e-05,1.97698146861592e-06,-9.29167839829383,5.33103515223943,-1.002813258,"1841","DTYMK","deoxythymidylate kinase",0.999998023018379,45,0.955,0.303901899354792,944,1264,1.97698146861592e-06,5.33103515223943,1264,FALSE
"1554271_a_at",6.87014887983333,1.49198146855373e-05,1.77373196993128e-07,-11.8937711049754,7.82740536363892,-1.39361793833334,"91687","CENPL","centromere protein L",0.999999822626806,24,0.976,0.298413760139109,939,650,1.77373196993128e-07,7.82740536363892,650,FALSE
"1554408_a_at",8.19829686466667,1.10741754075615e-05,1.12007663472913e-07,-12.4546568408216,8.29777480012431,-1.32036136866667,"7083","TK1","thymidine kinase 1",0.999999887992345,37,0.963,0.468191574761954,403,553,1.12007663472913e-07,8.29777480012431,553,FALSE
"1554420_at",5.89225304516667,2.34072646077268e-06,9.82494711700196e-09,15.8378643195371,10.7447108487728,1.568365553,"467","ATF3","activating transcription factor 3",0.99999999017507,6,0.994,0.173408851322926,1380,229,9.82494711700196e-09,10.7447108487728,229,FALSE
"1554462_a_at",8.84084148566667,4.71576819642049e-07,4.91630154908035e-10,21.1662028226863,13.613643732509,2.29074455266667,"4189","DNAJB9","DnaJ heat shock protein family (Hsp40) member B9",0.999999999508388,4,0.996,0.55032837186347,235,57,4.91630154908035e-10,13.613643732509,57,FALSE
"1554572_a_at",6.20837890266667,2.36590088178131e-05,3.3968581475964e-07,-11.1385006159509,7.15907430891539,-1.68962951933333,"79723","SUV39H2","suppressor of variegation 3-9 homolog 2",0.999999660314174,32,0.968,0.213819376238082,1240,785,3.3968581475964e-07,7.15907430891539,785,FALSE
